model;split;series_id;horizon_step;ds;y_true;y_pred
latent_shared;val;Adenovirus;1;26/4/2025;28.399.999.141.693.100;26.220.641.136.169.400
latent_shared;val;Adenovirus;2;3/5/2025;2.609.999.895.095.820;26.978.511.810.302.700
latent_shared;val;Adenovirus;3;10/5/2025;29.200.000.762.939.400;27.585.291.862.487.700
latent_shared;val;Adenovirus;4;17/5/2025;27.200.000.286.102.200;28.388.500.213.623.000
latent_shared;val;HCOV;1;26/4/2025;2.140.000.104.904.170;20.016.255.378.723.100
latent_shared;val;HCOV;2;3/5/2025;1.559.999.942.779.540;18.063.020.706.176.700
latent_shared;val;HCOV;3;10/5/2025;13.200.000.524.520.800;17.705.397.605.895.900
latent_shared;val;HCOV;4;17/5/2025;1.159.999.966.621.390;17.321.865.558.624.200
latent_shared;val;HMPV;1;26/4/2025;7.380.000.114.440.910;7.738.682.746.887.200
latent_shared;val;HMPV;2;3/5/2025;7.389.999.866.485.590;7.744.521.617.889.400
latent_shared;val;HMPV;3;10/5/2025;6.630.000.114.440.910;7.548.184.394.836.420
latent_shared;val;HMPV;4;17/5/2025;6.179.999.828.338.620;7.226.187.705.993.650
latent_shared;val;PIV;1;26/4/2025;5.329.999.923.706.050;547.206.974.029.541
latent_shared;val;PIV;2;3/5/2025;6.349.999.904.632.560;5.779.339.790.344.230
latent_shared;val;PIV;3;10/5/2025;7.079.999.923.706.050;586.639.404.296.875
latent_shared;val;PIV;4;17/5/2025;7.570.000.171.661.370;5.907.368.183.135.980
latent_shared;val;RSV;1;26/4/2025;1.5;1.519.136.667.251.580
latent_shared;val;RSV;2;3/5/2025;11.200.000.047.683.700;15.334.221.124.649.000
latent_shared;val;RSV;3;10/5/2025;0.8600000143051147;17.040.398.120.880.100
latent_shared;val;RSV;4;17/5/2025;0.7599999904632568;18.698.291.778.564.400
latent_shared;val;RV/EV;1;26/4/2025;21.329.999.923.706.000;22.173.126.220.703.100
latent_shared;val;RV/EV;2;3/5/2025;21.850.000.381.469.700;2.266.147.804.260.250
latent_shared;val;RV/EV;3;10/5/2025;22.510.000.228.881.800;22.503.488.540.649.400
latent_shared;val;RV/EV;4;17/5/2025;21.950.000.762.939.400;22.410.083.770.751.900
latent_shared;test;Adenovirus;1;11/10/2025;2.200.000.047.683.710;22.161.641.120.910.600
latent_shared;test;Adenovirus;2;18/10/2025;23.299.999.237.060.500;23.417.320.251.464.800
latent_shared;test;Adenovirus;3;25/10/2025;2.509.999.990.463.250;24.369.590.282.440.100
latent_shared;test;Adenovirus;4;1/11/2025;26.600.000.858.306.800;25.383.005.142.211.900
latent_shared;test;HCOV;1;11/10/2025;0.3199999928474426;0.33207353949546814
latent_shared;test;HCOV;2;18/10/2025;0.30000001192092896;0.3686780333518982
latent_shared;test;HCOV;3;25/10/2025;0.33000001311302185;0.4331965744495392
latent_shared;test;HCOV;4;1/11/2025;0.4399999976158142;0.5307767391204834
latent_shared;test;HMPV;1;11/10/2025;0.5199999809265137;0.34340107440948486
latent_shared;test;HMPV;2;18/10/2025;0.6800000071525574;0.3077152967453003
latent_shared;test;HMPV;3;25/10/2025;0.7200000286102295;0.32506874203681946
latent_shared;test;HMPV;4;1/11/2025;0.7200000286102295;0.36072421073913574
latent_shared;test;PIV;1;11/10/2025;4.480.000.019.073.480;4.619.029.998.779.290
latent_shared;test;PIV;2;18/10/2025;521.999.979.019.165;4.875.644.683.837.890
latent_shared;test;PIV;3;25/10/2025;5.210.000.038.146.970;4.974.376.678.466.790
latent_shared;test;PIV;4;1/11/2025;5.179.999.828.338.620;5.073.289.394.378.660
latent_shared;test;RSV;1;11/10/2025;0.7200000286102295;0.6684700846672058
latent_shared;test;RSV;2;18/10/2025;0.8399999737739563;0.9073759913444519
latent_shared;test;RSV;3;25/10/2025;11.200.000.047.683.700;1.143.295.407.295.220
latent_shared;test;RSV;4;1/11/2025;12.599.999.904.632.500;15.065.207.481.384.200
latent_shared;test;RV/EV;1;11/10/2025;268.700.008.392.334;2.764.149.284.362.790
latent_shared;test;RV/EV;2;18/10/2025;25.440.000.534.057.600;27.053.781.509.399.400
latent_shared;test;RV/EV;3;25/10/2025;2.459.000.015.258.780;2.610.660.743.713.370
latent_shared;test;RV/EV;4;1/11/2025;24.729.999.542.236.300;25.202.045.440.673.800
