model,split,series_id,horizon_step,ds,y_true,y_pred
nbeats,val,Adenovirus,1,2025-04-26,2.8399999141693115,2.6705574989318848
nbeats,val,Adenovirus,2,2025-05-03,2.609999895095825,2.589803457260132
nbeats,val,Adenovirus,3,2025-05-10,2.9200000762939453,2.5191822052001953
nbeats,val,Adenovirus,4,2025-05-17,2.7200000286102295,2.4998490810394287
nbeats,val,HCOV,1,2025-04-26,2.140000104904175,1.943847417831421
nbeats,val,HCOV,2,2025-05-03,1.559999942779541,1.6964117288589478
nbeats,val,HCOV,3,2025-05-10,1.3200000524520874,1.5336326360702515
nbeats,val,HCOV,4,2025-05-17,1.159999966621399,1.5439070463180542
nbeats,val,HMPV,1,2025-04-26,7.380000114440918,7.647506237030029
nbeats,val,HMPV,2,2025-05-03,7.389999866485596,7.320171356201172
nbeats,val,HMPV,3,2025-05-10,6.630000114440918,6.8162150382995605
nbeats,val,HMPV,4,2025-05-17,6.179999828338623,6.3811492919921875
nbeats,val,PIV,1,2025-04-26,5.329999923706055,5.4956817626953125
nbeats,val,PIV,2,2025-05-03,6.349999904632568,6.145875453948975
nbeats,val,PIV,3,2025-05-10,7.079999923706055,6.5094218254089355
nbeats,val,PIV,4,2025-05-17,7.570000171661377,6.9969868659973145
nbeats,val,RSV,1,2025-04-26,1.5,1.0892680883407593
nbeats,val,RSV,2,2025-05-03,1.1200000047683716,0.9364563822746277
nbeats,val,RSV,3,2025-05-10,0.8600000143051147,0.8811718225479126
nbeats,val,RSV,4,2025-05-17,0.7599999904632568,0.74149090051651
nbeats,val,RV/EV,1,2025-04-26,21.329999923706055,21.37353515625
nbeats,val,RV/EV,2,2025-05-03,21.850000381469727,21.588279724121094
nbeats,val,RV/EV,3,2025-05-10,22.510000228881836,21.528942108154297
nbeats,val,RV/EV,4,2025-05-17,21.950000762939453,21.79934310913086
nbeats,test,Adenovirus,1,2025-10-11,2.200000047683716,2.3343470096588135
nbeats,test,Adenovirus,2,2025-10-18,2.3299999237060547,2.4069607257843018
nbeats,test,Adenovirus,3,2025-10-25,2.509999990463257,2.452014207839966
nbeats,test,Adenovirus,4,2025-11-01,2.6600000858306885,2.5063223838806152
nbeats,test,HCOV,1,2025-10-11,0.3199999928474426,0.3113214671611786
nbeats,test,HCOV,2,2025-10-18,0.30000001192092896,0.3143981993198395
nbeats,test,HCOV,3,2025-10-25,0.33000001311302185,0.30180585384368896
nbeats,test,HCOV,4,2025-11-01,0.4399999976158142,0.35879242420196533
nbeats,test,HMPV,1,2025-10-11,0.5199999809265137,0.39588814973831177
nbeats,test,HMPV,2,2025-10-18,0.6800000071525574,0.3737269639968872
nbeats,test,HMPV,3,2025-10-25,0.7200000286102295,0.3230723440647125
nbeats,test,HMPV,4,2025-11-01,0.7200000286102295,0.33480966091156006
nbeats,test,PIV,1,2025-10-11,4.480000019073486,4.581885814666748
nbeats,test,PIV,2,2025-10-18,5.21999979019165,4.786888599395752
nbeats,test,PIV,3,2025-10-25,5.210000038146973,5.043591022491455
nbeats,test,PIV,4,2025-11-01,5.179999828338623,5.3719682693481445
nbeats,test,RSV,1,2025-10-11,0.7200000286102295,0.8163959383964539
nbeats,test,RSV,2,2025-10-18,0.8399999737739563,0.9734212160110474
nbeats,test,RSV,3,2025-10-25,1.1200000047683716,1.1012002229690552
nbeats,test,RSV,4,2025-11-01,1.2599999904632568,1.2843139171600342
nbeats,test,RV/EV,1,2025-10-11,26.8700008392334,27.603654861450195
nbeats,test,RV/EV,2,2025-10-18,25.440000534057617,26.113344192504883
nbeats,test,RV/EV,3,2025-10-25,24.59000015258789,24.52540397644043
nbeats,test,RV/EV,4,2025-11-01,24.729999542236328,23.261117935180664
