model,split,series_id,horizon_step,ds,y_true,y_pred
nhits,val,Adenovirus,1,2025-04-26,2.8399999141693115,2.6831746101379395
nhits,val,Adenovirus,2,2025-05-03,2.609999895095825,2.650890350341797
nhits,val,Adenovirus,3,2025-05-10,2.9200000762939453,2.6473894119262695
nhits,val,Adenovirus,4,2025-05-17,2.7200000286102295,2.6462509632110596
nhits,val,HCOV,1,2025-04-26,2.140000104904175,2.080721139907837
nhits,val,HCOV,2,2025-05-03,1.559999942779541,1.9327914714813232
nhits,val,HCOV,3,2025-05-10,1.3200000524520874,1.7393336296081543
nhits,val,HCOV,4,2025-05-17,1.159999966621399,1.6248068809509277
nhits,val,HMPV,1,2025-04-26,7.380000114440918,7.4329657554626465
nhits,val,HMPV,2,2025-05-03,7.389999866485596,7.1014838218688965
nhits,val,HMPV,3,2025-05-10,6.630000114440918,6.635506629943848
nhits,val,HMPV,4,2025-05-17,6.179999828338623,6.177555561065674
nhits,val,PIV,1,2025-04-26,5.329999923706055,5.541595458984375
nhits,val,PIV,2,2025-05-03,6.349999904632568,5.978123664855957
nhits,val,PIV,3,2025-05-10,7.079999923706055,6.450294494628906
nhits,val,PIV,4,2025-05-17,7.570000171661377,6.818689346313477
nhits,val,RSV,1,2025-04-26,1.5,1.7804540395736694
nhits,val,RSV,2,2025-05-03,1.1200000047683716,1.4991443157196045
nhits,val,RSV,3,2025-05-10,0.8600000143051147,1.2059880495071411
nhits,val,RSV,4,2025-05-17,0.7599999904632568,1.0325064659118652
nhits,val,RV/EV,1,2025-04-26,21.329999923706055,21.307281494140625
nhits,val,RV/EV,2,2025-05-03,21.850000381469727,21.07306671142578
nhits,val,RV/EV,3,2025-05-10,22.510000228881836,21.543956756591797
nhits,val,RV/EV,4,2025-05-17,21.950000762939453,21.642784118652344
nhits,test,Adenovirus,1,2025-10-11,2.200000047683716,2.3289506435394287
nhits,test,Adenovirus,2,2025-10-18,2.3299999237060547,2.38108491897583
nhits,test,Adenovirus,3,2025-10-25,2.509999990463257,2.4546492099761963
nhits,test,Adenovirus,4,2025-11-01,2.6600000858306885,2.533050060272217
nhits,test,HCOV,1,2025-10-11,0.3199999928474426,0.3247987627983093
nhits,test,HCOV,2,2025-10-18,0.30000001192092896,0.36275017261505127
nhits,test,HCOV,3,2025-10-25,0.33000001311302185,0.43723905086517334
nhits,test,HCOV,4,2025-11-01,0.4399999976158142,0.5019173622131348
nhits,test,HMPV,1,2025-10-11,0.5199999809265137,0.6839293241500854
nhits,test,HMPV,2,2025-10-18,0.6800000071525574,0.6549559831619263
nhits,test,HMPV,3,2025-10-25,0.7200000286102295,0.6195881366729736
nhits,test,HMPV,4,2025-11-01,0.7200000286102295,0.6261038780212402
nhits,test,PIV,1,2025-10-11,4.480000019073486,4.707263946533203
nhits,test,PIV,2,2025-10-18,5.21999979019165,4.8565874099731445
nhits,test,PIV,3,2025-10-25,5.210000038146973,5.143976211547852
nhits,test,PIV,4,2025-11-01,5.179999828338623,5.383837699890137
nhits,test,RSV,1,2025-10-11,0.7200000286102295,0.7703973054885864
nhits,test,RSV,2,2025-10-18,0.8399999737739563,0.9379512071609497
nhits,test,RSV,3,2025-10-25,1.1200000047683716,1.1666946411132812
nhits,test,RSV,4,2025-11-01,1.2599999904632568,1.425400733947754
nhits,test,RV/EV,1,2025-10-11,26.8700008392334,27.253253936767578
nhits,test,RV/EV,2,2025-10-18,25.440000534057617,25.655059814453125
nhits,test,RV/EV,3,2025-10-25,24.59000015258789,24.75921058654785
nhits,test,RV/EV,4,2025-11-01,24.729999542236328,23.685352325439453
