model;split;horizon_step;mae;rmse
latent_shared;test;1;0.19448140760262808;0.3288309607570172
nbeats;test;1;0.19984550774097434;0.313966367817474
nhits;test;1;0.15976550181706686;0.2019058480847803
latent_shared;test;2;0.4130344887574508;0.6917199845102996
nbeats;test;2;0.2729180206855138;0.3556008210678124
nhits;test;2;0.1358836789925893;0.18031821818146995
latent_shared;test;3;0.39111580948034924;0.6491165704878783
nbeats;test;3;0.1221521000067393;0.17978084187051166
nhits;test;3;0.09082176784674327;0.09984836325152067
latent_shared;test;4;0.2328382035096486;0.27298267550262045
nbeats;test;4;0.3842066029707591;0.6289726213365372
nhits;test;4;0.2827748954296112;0.44515196796688383
latent_shared;val;1;0.28655429681142225;0.39300313024399797
nbeats;val;1;0.20884170134862323;0.2369221482009042
nhits;val;1;0.1306396524111424;0.1606532480786074
latent_shared;val;2;0.4140391747156779;0.47418966995035267
nbeats;val;2;0.14597091078758243;0.16720488805612718
nhits;val;2;0.37169204155604046;0.4300301026456037
latent_shared;val;3;0.5990587075551362;0.7368181668262563
nbeats;val;3;0.3955789009730026;0.5048848866169497
nhits;val;3;0.43986461559931445;0.532238070672148
latent_shared;val;4;0.8282947738965358;0.9698603179128686
nbeats;val;4;0.25789792339007067;0.31296878327171745
nhits;val;4;0.3120056986808775;0.3988734487427662
